strain,stage,hour,medianLength,medianWidth
dpy-1,L3,33,496.36862613999995,35.146078379823315
dpy-1,L3,33,488.01308039,34.2454344425
dpy-1,L3,33,494.69751699,34.6509691673763
dpy-1,L3,33,471.30198888999996,32.32444253824279
dpy-1,L3,33,526.44859084,34.12009720050228
dpy-1,L3,33,509.73749933999994,33.83564119605106
dpy-1,L3,33,482.16419836499995,34.62196550540321
dpy-1,L3,33,488.01308039,33.990806835844154
dpy-1,L3,34,518.928599665,38.5438766066352
dpy-1,L3,34,510.573053915,36.82421074425616
dpy-1,L3,34,506.39528104,34.85115832630081
dpy-1,L3,34,512.2441630650001,36.351894590277325
dpy-1,L3,34,508.06639019,38.350365399637
dpy-1,L3,34,528.11969999,35.77037088680555
dpy-1,L3,34,488.01308039,35.73358411807165
dpy-1,L3,34,482.99975294,35.90107972488889
dpy-1,L3,34,466.28866143999994,36.91332716502283
dpy-1,L3,34,518.928599665,36.254232204253995
dpy-1,L3,34,496.36862613999995,35.53091805670799
dpy-1,L3,34,511.40860849,36.7469311713362
dpy-1,L3,34,521.4352633899999,38.103959342719996
dpy-1,L3,34,511.40860849,36.38552382013491
dpy-1,L3,34,517.257490515,37.72082074192596
dpy-1,L3,34,514.75082679,37.105304508834585
dpy-1,L3,34,543.15968234,36.8540013827897
dpy-1,L3,34,534.80413659,38.76997114538461
dpy-1,L3,34,512.2441630650001,37.019640154503705
dpy-1,L3,34,508.06639019,36.222824557094015
dpy-1,L3,34,516.42193594,36.64415707545787
dpy-1,L3,34,487.177525815,36.357971879630625
dpy-1,L3,35,534.80413659,40.19176609051643
dpy-1,L3,35,521.4352633899999,40.458138474855964
dpy-1,L3,35,521.4352633899999,40.46262874089855
dpy-1,L3,35,545.666346065,37.75506576688453
dpy-1,L3,35,504.72417189,37.68087912486725
dpy-1,L3,35,496.36862613999995,40.75512091059113
dpy-1,L3,35,503.05306274,37.8478975408943
dpy-1,L3,35,532.2974728649999,36.92586558129605
dpy-1,L3,35,530.626363715,38.88082829393332
dpy-1,L3,35,519.76415424,40.649227157230214
dpy-1,L3,35,506.39528104,40.32904332613168
dpy-1,L3,35,549.8441189399999,37.61276621914498
dpy-1,L3,35,546.50190064,39.69356388827433
dpy-1,L3,35,523.1063725399999,38.166699584999996
dpy-1,L3,35,549.8441189399999,37.26446158761061
